Block,Treatment,Mesocosm,ID,Molt1Day,Molt2Day,Molt3Day,Molt4Day,Molt5Day,MoltCount,AdulthoodDay,Survival,Death_Day,Thorax_Width1,Mass1,Ambient_Date,Thorax_Width2,Mass2,Disp_Date,Disp_Count,Dispersed
1,22,17,225,,,,,,0,,0,7,,,,,,,,
1,22,17,226,,,,,,0,,0,7,,,,,,,,
1,22,17,227,7,16,25,,,3,,0,38,,,,,,,,
1,22,17,228,7,21,,,,2,,0,41,,,,,,,,
1,22,17,229,5,,,,,1,,0,20,,,,,,,,
1,22,17,230,2,9,22,,,3,,0,38,,,,,,,,
1,22,17,232,7,22,46,,,3,46,1,,3.51,0.061,23-Aug-24,3.45,0.066,02-Sep-24,0,0
1,22,17,235,7,18,,,,2,,0,43,,,,,,,,
1,22,17,236,3,9,17,,,3,,0,34,,,,,,,,
1,22,17,238,7,19,,,,2,40,1,,3.64,0.059,19-Aug-24,3.56,0.059,27-Aug-24,0,0
1,24,24,324,1,7,,,,2,,0,13,,,,,,,,
1,24,24,325,,,,,,0,,0,3,,,,,,,,
1,24,24,326,6,,,,,1,,0,23,,,,,,,,
1,24,24,327,5,21,,,,2,,0,22,,,,,,,,
1,24,24,329,1,,,,,1,,0,9,,,,,,,,
1,24,24,331,5,22,,,,2,,0,23,,,,,,,,
1,24,24,332,,,,,,0,,0,20,,,,,,,,
1,24,24,333,3,20,,,,2,,0,22,,,,,,,,
1,24,24,334,,,,,,0,,0,3,,,,,,,,
1,24,24,335,5,,,,,1,,0,8,,,,,,,,
1,26,16,211,,,,,,0,,0,14,,,,,,,,
1,26,16,212,3,4,5,18,38,5,38,1,,3.55,0.06,19-Aug-24,3.63,0.069,27-Aug-24,0,0
1,26,16,213,2,16,,,,2,,0,18,,,,,,,,
1,26,16,214,4,,,,,1,,0,17,,,,,,,,
1,26,16,217,2,7,15,,,3,,0,22,,,,,,,,
1,26,16,218,3,12,,,,2,,0,29,,,,,,,,
1,26,16,220,2,6,14,,,3,,0,33,,,,,,,,
1,26,16,221,3,9,,,,2,,0,19,,,,,,,,
1,26,16,223,,,,,,0,,0,5,,,,,,,,
1,26,16,224,12,,,,,1,,0,34,,,,,,,,
1,28,3,29,4,,,,,1,,0,7,,,,,,,,
1,28,3,30,5,14,,,,2,,0,29,,,,,,,,
1,28,3,32,4,,,,,1,,0,7,,,,,,,,
1,28,3,33,4,,,,,1,,0,7,,,,,,,,
1,28,3,34,4,,,,,1,,0,7,,,,,,,,
1,28,3,37,,,,,,0,,0,3,,,,,,,,
1,28,3,38,3,,,,,1,,0,7,,,,,,,,
1,28,3,39,3,,,,,1,,0,9,,,,,,,,
1,28,3,41,2,,,,,1,,0,6,,,,,,,,
1,28,3,42,5,13,,,,2,40,1,,3.88,0.068,19-Aug-24,3.7,0.069,10-Sep-24,0,0
1,28,33,449,4,7,,,,2,,0,11,,,,,,,,
1,28,33,450,3,,,,,1,,0,11,,,,,,,,
1,28,33,451,2,8,15,,,3,,0,33,,,,,,,,
1,28,33,452,1,7,21,,,3,,0,21,,,,,,,,
1,28,33,454,5,,,,,1,,0,7,,,,,,,,
1,28,33,455,4,,,,,1,,0,5,,,,,,,,
1,28,33,457,3,,,,,1,,0,12,,,,,,,,
1,28,33,459,3,15,,,,2,,0,29,,,,,,,,
1,28,33,460,1,5,,,,2,,0,17,,,,,,,,
1,28,33,461,5,,,,,1,,0,10,,,,,,,,
1,30,13,169,3,10,,,,2,,0,12,,,,,,,,
1,30,13,171,4,,,,,1,,0,7,,,,,,,,
1,30,13,172,,,,,,0,,0,6,,,,,,,,
1,30,13,174,3,,,,,1,,0,7,,,,,,,,
1,30,13,175,,,,,,0,,0,3,,,,,,,,
1,30,13,176,4,,,,,1,,0,7,,,,,,,,
1,30,13,177,4,,,,,1,,0,7,,,,,,,,
1,30,13,179,2,6,15,,,3,,0,15,,,,,,,,
1,30,13,180,,,,,,0,,0,3,,,,,,,,
1,30,13,182,4,,,,,1,,0,5,,,,,,,,
1,30,21,282,2,,,,,1,,0,4,,,,,,,,
1,30,21,284,2,6,,,,2,,0,7,,,,,,,,
1,30,21,285,3,,,,,1,,0,6,,,,,,,,
1,30,21,286,5,,,,,1,,0,7,,,,,,,,
1,30,21,287,4,,,,,1,,0,7,,,,,,,,
1,30,21,289,3,,,,,1,,0,7,,,,,,,,
1,30,21,290,3,,,,,1,,0,7,,,,,,,,
1,30,21,291,4,,,,,1,,0,6,,,,,,,,
1,30,21,292,,,,,,0,,0,6,,,,,,,,
1,30,21,293,,,,,,0,,0,3,,,,,,,,
2,22,32,435,,,,,,0,,0,8,,,,,,,,
2,22,32,437,1,8,20,,,3,42,1,,3.59,0.063,20-Aug-24,3.52,0.065,02-Sep-24,0,0
2,22,32,438,7,,,,,1,,0,17,,,,,,,,
2,22,32,439,,,,,,0,,0,8,,,,,,,,
2,22,32,441,,,,,,0,,0,7,,,,,,,,
2,22,32,443,2,,,,,1,,0,10,,,,,,,,
2,22,32,444,6,24,,,,2,,0,44,,,,,,,,
2,22,32,446,7,17,38,,,3,38,1,,3.75,0.071,19-Aug-24,3.65,0.07,27-Aug-24,0,0
2,22,32,447,2,,,,,1,,0,8,,,,,,,,
2,22,32,448,3,,,,,1,,0,6,,,,,,,,
2,24,10,128,4,11,18,45,,4,45,1,,3.7,0.07,23-Aug-24,3.74,0.085,02-Sep-24,0,0
2,24,10,129,15,,,,,1,,0,32,,,,,,,,
2,24,10,130,5,13,33,,,3,33,1,,3.77,0.069,19-Aug-24,3.72,0.069,27-Aug-24,0,0
2,24,10,131,4,14,,,,2,,0,26,,,,,,,,
2,24,10,132,7,9,18,,,3,,0,34,,,,,,,,
2,24,10,134,5,,,,,1,,0,9,,,,,,,,
